
 Name                         Version      License                                             
 packaging                    24.0         Apache Software License; BSD License                
 pandas                       2.2.2        BSD License                                         
 pandocfilters                1.5.1        BSD License                                         
 parso                        0.8.4        MIT License                                         
 patchify                     0.2.3        MIT License                                         
 pexpect                      4.9.0        ISC License (ISCL)                                  
 pillow                       10.3.0       Historical Permission Notice and Disclaimer (HPND)  
 platformdirs                 4.2.2        MIT License                                         
 plotly                       5.22.0       MIT License                                         
 pretrainedmodels             0.7.4        MIT License                                         
 prompt-toolkit               3.0.43       BSD License                                         
 protobuf                     4.25.3       3-Clause BSD License                                
 psutil                       5.9.8        BSD License                                         
 ptyprocess                   0.7.0        ISC License (ISCL)                                  
 pure-eval                    0.2.2        MIT License                                         
 pyarrow                      16.1.0       Apache Software License                             
 pycparser                    2.22         BSD License                                         
 pycryptodome                 3.20.0       Apache Software License; BSD License; Public Domain 
 pydantic                     2.7.1        MIT License                                         
 pydantic-extra-types         2.7.0        MIT License                                         
 pydantic-settings            2.2.1        MIT License                                         
 pydantic_core                2.18.2       MIT License                                         
 pydeck                       0.9.1        Apache License 2.0                                  
 pyparsing                    3.1.2        MIT License                                         
 python-dateutil              2.9.0.post0  Apache Software License; BSD License                
 python-dotenv                1.0.1        BSD License                                         
 python-multipart             0.0.9        Apache Software License                             
 pytz                         2024.1       MIT License                                         
 pyzmq                        26.0.3       BSD License                                         
 rasterio                     1.3.10       BSD License                                         
 referencing                  0.35.1       MIT License                                         
 regex                        2024.5.10    Apache Software License                             
 requests                     2.31.0       Apache Software License                             
 rich                         13.7.1       MIT License                                         
 rpds-py                      0.18.1       MIT License                                         
 s3fs                         2024.3.1     BSD License                                         
 scikit-image                 0.23.2       BSD License                                         
 scikit-learn                 1.4.2        BSD License                                         
 scipy                        1.13.0       BSD License                                         
 seaborn                      0.13.2       BSD License                                         
 segmentation_models_pytorch  0.3.2        MIT License                                         
 sentry-sdk                   2.1.1        BSD License                                         
 setproctitle                 1.3.3        BSD License                                         
 shapely                      2.0.4        BSD License                                         
 six                          1.16.0       MIT License                                         
 smmap                        5.0.1        BSD License                                         
 sniffio                      1.3.1        Apache Software License; MIT License                
 snuggs                       1.4.7        MIT                                                 
 soupsieve                    2.5          MIT License                                         
 stack-data                   0.6.3        MIT License                                         
 starlette                    0.37.2       BSD License                                         
 streamlit                    1.34.0       Apache Software License                             
 sympy                        1.12         BSD License                                         
 tenacity                     8.3.0        Apache Software License                             
 threadpoolctl                3.5.0        BSD License                                         
 tifffile                     2024.5.10    BSD License                                         
 tiffslide                    2.4.0        BSD License                                         
 timm                         0.6.13       Apache Software License                             
 tinycss2                     1.3.0        BSD License                                         
 toml                         0.10.2       MIT License                                         
 toolz                        0.12.1       BSD License                                         
 torch                        2.1.2        BSD License                                         
 torchinfo                    1.8.0        MIT License                                         
 torchvision                  0.16.2       BSD                                                 
 tornado                      6.4          Apache Software License                             
 tqdm                         4.66.4       MIT License; Mozilla Public License 2.0 (MPL 2.0)   
 traitlets                    5.14.3       BSD License                                         
 typing_extensions            4.11.0       Python Software Foundation License                  
 tzdata                       2024.1       Apache Software License                             
 ujson                        5.10.0       BSD License                                         
 universal_pathlib            0.2.2        MIT                                                 
 urllib3                      2.2.1        MIT License                                         
 uvicorn                      0.29.0       BSD License                                         
 uvloop                       0.19.0       Apache Software License; MIT License                
 wandb                        0.16.6       MIT License                                         
 watchfiles                   0.21.0       MIT License                                         
 webencodings                 0.5.1        BSD License                                         
 websockets                   12.0         BSD License                                         
 widgetsnbextension           4.0.10       BSD License                                         
 wrapt                        1.16.0       BSD License                                         
 wsi-service                  0.12.14      MIT License                                         
 yarl                         1.9.4        Apache Software License                             
 zarr                         2.18.0       MIT License                                         
 zipfly                       6.0.5        MIT License                                         
